strategy,stage,phase,,,,,,
Readjusting posture,Beige,Bottoming Out,1,0,,,,
Getting Comfy,Beige,Bottoming Out,1,0,,,,
Drinking Water,Beige,Bottoming Out,1,0,,,,
Listening to Music,Purple,Bottoming Out,2,0,,,,
Pranayama (Lion's Breath),Red,Bottoming Out,3,0,,,,
Learning,Orange,Bottoming Out,,,,,,
Baby Waterfall Conventions,Teal,Bottoming Out,8,1,,,,
One Pushup / One Squat,Beige,Restoration,1,1,,,,
Wash face,Beige,Restoration,,,,,,
Kirtan,Purple,Restoration,2,1,,,,
Taking a Bath,Purple,Restoration,2,1,,,,
Getting Some Sunshine,Purple,Restoration,2,1,,,,
Somatic Meditation,Red,Restoration,3,1,,,,
Biking,Red,Restoration,3,1,,,,
Jogging,Red,Restoration,3,1,,,,
Dancing,Red,Restoration,3,1,,,,
Husband Time,Blue,Restoration,4,1,,,,
Cold Shower,Beige,Rising,1,2,,,,
Clairaudient Practice,Purple,Rising,2,2,,,,
Divination,Purple,Rising,2,2,,,,
Dog Walkin Shamanism,Purple,Rising,2,2,,,,
Empathizing with Others,Blue,Rising,4,2,,,,
Metta Meditation,Blue,Rising,4,2,,,,
Dad Time,Blue,Rising,4,2,,,,Magick
Pranayama (Wim Hof),Orange,Rising,5,2,,,,Micro-Retreats
Eating Something Tasty,Orange,Rising,5,2,,,,Confidence Practice
Pranayama (Alternate Nostril),Orange,Rising,5,2,,,,Kombucha
Yoga,Green,Rising,6,2,,,,Making Music
Creative Writing,Green,Rising,6,2,,,,
Making Music,Green,Rising,6,2,,,,
Meditation Micro-Retreats,Teal,Rising,8,2,,,,
Confidence Practice,Red,Peaking,3,3,,,,
Socializing,Blue,Peaking,4,3,,,,
Compassion Practice,Blue,Peaking,4,3,,,,
Samatha Vipassana,Yellow,Peaking,7,3,,,,
Kombucha,Yellow,Peaking,7,3,,,,
Magick,Teal,Peaking,8,3,,,,
Meditation Retreats,Ultraviolet,Peaking,9,3,,,,
Eating Something Grounding,Beige,Withdrawing,1,4,,,,
Spending Time in Crowded Places,Blue,Withdrawing,4,4,,,,
I Belong Here Ritual,Blue,Withdrawing,4,4,,,,
Clairsentient Practice with Loved Ones,Blue,Withdrawing,4,4,,,,
Intense Exercise,Orange,Withdrawing,5,4,,,,
Pranayama (4/7/8),Orange,Withdrawing,5,4,,,,
Pranayama (Box Breathing),Orange,Withdrawing,5,4,,,,
5-4-3-2-1 Technique,Beige,Withdrawing,,,,,,
Anti-Anxiety Meds,Yellow,Withdrawing,7,4,,,,
Long Drives,Purple,Diminishing,2,5,,,,
Hot Beverages,Purple,Diminishing,2,5,,,,
Walking,Red,Diminishing,3,5,,,,
Journaling,Green,Diminishing,6,5,,,,
Cleaning,Green,Diminishing,6,5,,,,
